model_slug,pair,left,right,K,jaccard,overlap_coefficient,overlap_count,union_size,left_size,right_size,random_expected_jaccard,left_path,right_path,left_note,right_note,left_source_file,right_source_file
Qwen__Qwen2.5-7B-Instruct,SEC-NQ,SEC,NQ,8,0.2308,0.375,3,13,8,8,0.0051,/Users/ananyaanand/Downloads/qr_scoring/results/detection/Qwen__Qwen2.5-7B-Instruct/long_context_combined_heads.json,/Users/ananyaanand/Downloads/qr_scoring/results/detection/Qwen__Qwen2.5-7B-Instruct/nq_train_heads.json,,,,
Qwen__Qwen2.5-7B-Instruct,SEC-NQ,SEC,NQ,16,0.3333,0.5,8,24,16,16,0.0103,/Users/ananyaanand/Downloads/qr_scoring/results/detection/Qwen__Qwen2.5-7B-Instruct/long_context_combined_heads.json,/Users/ananyaanand/Downloads/qr_scoring/results/detection/Qwen__Qwen2.5-7B-Instruct/nq_train_heads.json,,,,
Qwen__Qwen2.5-7B-Instruct,SEC-NQ,SEC,NQ,32,0.3061,0.4688,15,49,32,32,0.0208,/Users/ananyaanand/Downloads/qr_scoring/results/detection/Qwen__Qwen2.5-7B-Instruct/long_context_combined_heads.json,/Users/ananyaanand/Downloads/qr_scoring/results/detection/Qwen__Qwen2.5-7B-Instruct/nq_train_heads.json,,,,
Qwen__Qwen2.5-7B-Instruct,SEC-NQ,SEC,NQ,48,0.3333,0.5,24,72,48,48,0.0316,/Users/ananyaanand/Downloads/qr_scoring/results/detection/Qwen__Qwen2.5-7B-Instruct/long_context_combined_heads.json,/Users/ananyaanand/Downloads/qr_scoring/results/detection/Qwen__Qwen2.5-7B-Instruct/nq_train_heads.json,,,,
Qwen__Qwen2.5-7B-Instruct,SEC-NQ,SEC,NQ,64,0.3333,0.5,32,96,64,64,0.0426,/Users/ananyaanand/Downloads/qr_scoring/results/detection/Qwen__Qwen2.5-7B-Instruct/long_context_combined_heads.json,/Users/ananyaanand/Downloads/qr_scoring/results/detection/Qwen__Qwen2.5-7B-Instruct/nq_train_heads.json,,,,
Qwen__Qwen2.5-7B-Instruct,SEC-NQ,SEC,NQ,96,0.4436,0.6146,59,133,96,96,0.0652,/Users/ananyaanand/Downloads/qr_scoring/results/detection/Qwen__Qwen2.5-7B-Instruct/long_context_combined_heads.json,/Users/ananyaanand/Downloads/qr_scoring/results/detection/Qwen__Qwen2.5-7B-Instruct/nq_train_heads.json,,,,
Qwen__Qwen2.5-7B-Instruct,SEC-NQ,SEC,NQ,128,0.4884,0.6562,84,172,128,128,0.0889,/Users/ananyaanand/Downloads/qr_scoring/results/detection/Qwen__Qwen2.5-7B-Instruct/long_context_combined_heads.json,/Users/ananyaanand/Downloads/qr_scoring/results/detection/Qwen__Qwen2.5-7B-Instruct/nq_train_heads.json,,,,
meta-llama__Llama-3.1-8B-Instruct,SEC-LME,SEC,LME,8,0.3333,0.5,4,12,8,8,0.0039,/Users/ananyaanand/Downloads/qr_scoring/results/detection/meta-llama__Llama-3.1-8B-Instruct/long_context_combined_heads.json,/Users/ananyaanand/Downloads/qr_scoring/results/detection/meta-llama__Llama-3.1-8B-Instruct/lme_train_heads.json,,,,
meta-llama__Llama-3.1-8B-Instruct,SEC-LME,SEC,LME,16,0.4545,0.625,10,22,16,16,0.0079,/Users/ananyaanand/Downloads/qr_scoring/results/detection/meta-llama__Llama-3.1-8B-Instruct/long_context_combined_heads.json,/Users/ananyaanand/Downloads/qr_scoring/results/detection/meta-llama__Llama-3.1-8B-Instruct/lme_train_heads.json,,,,
meta-llama__Llama-3.1-8B-Instruct,SEC-LME,SEC,LME,32,0.561,0.7188,23,41,32,32,0.0159,/Users/ananyaanand/Downloads/qr_scoring/results/detection/meta-llama__Llama-3.1-8B-Instruct/long_context_combined_heads.json,/Users/ananyaanand/Downloads/qr_scoring/results/detection/meta-llama__Llama-3.1-8B-Instruct/lme_train_heads.json,,,,
